STT,MaHP,TenHP,SoTinChi,HocKy,NamHoc,MaLop,LichHoc,MaGV,GiangVien,MaKhoa,NgayBatDau,NgayKetThuc
88,C22101605,Thực hành nền tảng DTVT,2,1,2022-2023,DTVT01,T6(1-2)-P.cs2:A105,GV1102,ThS. Ngô Thị Dung,DTVT,2022-08-15,2022-12-30
89,C22101701,Nhập môn chuyên ngành DTVT,4,1,2022-2023,DTVT02,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,DTVT,2022-08-15,2022-12-30
90,C22101702,Tư duy thuật toán DTVT,3,1,2022-2023,DTVT02,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,DTVT,2022-08-15,2022-12-30
91,C22101703,Công cụ học tập số DTVT,3,1,2022-2023,DTVT02,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,DTVT,2022-08-15,2022-12-30
92,C22101704,Kỹ năng học thuật DTVT,3,1,2022-2023,DTVT02,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,DTVT,2022-08-15,2022-12-30
93,C22101705,Thực hành nền tảng DTVT,2,1,2022-2023,DTVT02,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,DTVT,2022-08-15,2022-12-30
94,C22101706,Seminar định hướng DTVT,2,1,2022-2023,DTVT02,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,DTVT,2022-08-15,2022-12-30
95,C22101801,Nhập môn chuyên ngành DTVT,4,1,2022-2023,DTVT03,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,DTVT,2022-08-15,2022-12-30
96,C22101802,Tư duy thuật toán DTVT,3,1,2022-2023,DTVT03,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,DTVT,2022-08-15,2022-12-30
97,C22101803,Công cụ học tập số DTVT,3,1,2022-2023,DTVT03,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,DTVT,2022-08-15,2022-12-30
98,C22101804,Kỹ năng học thuật DTVT,3,1,2022-2023,DTVT03,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,DTVT,2022-08-15,2022-12-30
99,C22101805,Thực hành nền tảng DTVT,2,1,2022-2023,DTVT03,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,DTVT,2022-08-15,2022-12-30
100,C22101901,Nhập môn chuyên ngành DTVT,4,1,2022-2023,DTVT04,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,DTVT,2022-08-15,2022-12-30
101,C22101902,Tư duy thuật toán DTVT,3,1,2022-2023,DTVT04,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,DTVT,2022-08-15,2022-12-30
102,C22101903,Công cụ học tập số DTVT,3,1,2022-2023,DTVT04,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,DTVT,2022-08-15,2022-12-30
103,C22101904,Kỹ năng học thuật DTVT,3,1,2022-2023,DTVT04,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,DTVT,2022-08-15,2022-12-30
104,C22101905,Thực hành nền tảng DTVT,2,1,2022-2023,DTVT04,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,DTVT,2022-08-15,2022-12-30
105,C22101906,Seminar định hướng DTVT,2,1,2022-2023,DTVT04,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,DTVT,2022-08-15,2022-12-30
106,C22102001,Nhập môn chuyên ngành DTVT,4,1,2022-2023,DTVT05,T2(1-4)-P.cs2:A101,GV0902,ThS. Đỗ Mỹ Thảo,DTVT,2022-08-15,2022-12-30
107,C22102002,Tư duy thuật toán DTVT,3,1,2022-2023,DTVT05,T3(1-3)-P.cs2:A102,GV1001,TS. Đỗ Bảo Đạt,DTVT,2022-08-15,2022-12-30
108,C22102003,Công cụ học tập số DTVT,3,1,2022-2023,DTVT05,T4(1-3)-P.cs2:A103,GV1002,ThS. Hồ Khánh Anh,DTVT,2022-08-15,2022-12-30
109,C22102004,Kỹ năng học thuật DTVT,3,1,2022-2023,DTVT05,T5(1-3)-P.cs2:A104,GV1101,TS. Hồ Nhật Cường,DTVT,2022-08-15,2022-12-30
110,C22102005,Thực hành nền tảng DTVT,2,1,2022-2023,DTVT05,T6(1-2)-P.cs2:A105,GV1102,ThS. Ngô Thị Dung,DTVT,2022-08-15,2022-12-30
111,C22102101,Nhập môn chuyên ngành HDH,4,1,2022-2023,HDH01,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,HDH,2022-08-15,2022-12-30
112,C22102102,Tư duy thuật toán HDH,3,1,2022-2023,HDH01,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,HDH,2022-08-15,2022-12-30
113,C22102103,Công cụ học tập số HDH,3,1,2022-2023,HDH01,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,HDH,2022-08-15,2022-12-30
114,C22102104,Kỹ năng học thuật HDH,3,1,2022-2023,HDH01,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,HDH,2022-08-15,2022-12-30
115,C22102105,Thực hành nền tảng HDH,2,1,2022-2023,HDH01,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,HDH,2022-08-15,2022-12-30
116,C22102106,Seminar định hướng HDH,2,1,2022-2023,HDH01,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,HDH,2022-08-15,2022-12-30
117,C22102201,Nhập môn chuyên ngành HDH,4,1,2022-2023,HDH02,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,HDH,2022-08-15,2022-12-30
118,C22102202,Tư duy thuật toán HDH,3,1,2022-2023,HDH02,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,HDH,2022-08-15,2022-12-30
119,C22102203,Công cụ học tập số HDH,3,1,2022-2023,HDH02,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,HDH,2022-08-15,2022-12-30
120,C22102204,Kỹ năng học thuật HDH,3,1,2022-2023,HDH02,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,HDH,2022-08-15,2022-12-30
121,C22102205,Thực hành nền tảng HDH,2,1,2022-2023,HDH02,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,HDH,2022-08-15,2022-12-30
122,C22102301,Nhập môn chuyên ngành HDH,4,1,2022-2023,HDH03,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,HDH,2022-08-15,2022-12-30
123,C22102302,Tư duy thuật toán HDH,3,1,2022-2023,HDH03,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,HDH,2022-08-15,2022-12-30
124,C22102303,Công cụ học tập số HDH,3,1,2022-2023,HDH03,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,HDH,2022-08-15,2022-12-30
125,C22102304,Kỹ năng học thuật HDH,3,1,2022-2023,HDH03,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,HDH,2022-08-15,2022-12-30
126,C22102305,Thực hành nền tảng HDH,2,1,2022-2023,HDH03,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,HDH,2022-08-15,2022-12-30
127,C22102306,Seminar định hướng HDH,2,1,2022-2023,HDH03,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,HDH,2022-08-15,2022-12-30
128,C22102401,Nhập môn chuyên ngành HDH,4,1,2022-2023,HDH04,T2(1-4)-P.cs2:A101,GV0902,ThS. Đỗ Mỹ Thảo,HDH,2022-08-15,2022-12-30
129,C22102402,Tư duy thuật toán HDH,3,1,2022-2023,HDH04,T3(1-3)-P.cs2:A102,GV1001,TS. Đỗ Bảo Đạt,HDH,2022-08-15,2022-12-30
130,C22102403,Công cụ học tập số HDH,3,1,2022-2023,HDH04,T4(1-3)-P.cs2:A103,GV1002,ThS. Hồ Khánh Anh,HDH,2022-08-15,2022-12-30
131,C22102404,Kỹ năng học thuật HDH,3,1,2022-2023,HDH04,T5(1-3)-P.cs2:A104,GV1101,TS. Hồ Nhật Cường,HDH,2022-08-15,2022-12-30
132,C22102405,Thực hành nền tảng HDH,2,1,2022-2023,HDH04,T6(1-2)-P.cs2:A105,GV1102,ThS. Ngô Thị Dung,HDH,2022-08-15,2022-12-30
133,C22102501,Nhập môn chuyên ngành HDH,4,1,2022-2023,HDH05,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,HDH,2022-08-15,2022-12-30
134,C22102502,Tư duy thuật toán HDH,3,1,2022-2023,HDH05,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,HDH,2022-08-15,2022-12-30
135,C22102503,Công cụ học tập số HDH,3,1,2022-2023,HDH05,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,HDH,2022-08-15,2022-12-30
136,C22102504,Kỹ năng học thuật HDH,3,1,2022-2023,HDH05,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,HDH,2022-08-15,2022-12-30
137,C22102505,Thực hành nền tảng HDH,2,1,2022-2023,HDH05,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,HDH,2022-08-15,2022-12-30
138,C22102506,Seminar định hướng HDH,2,1,2022-2023,HDH05,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,HDH,2022-08-15,2022-12-30
139,C22102601,Nhập môn chuyên ngành HH,4,1,2022-2023,HH01,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,HH,2022-08-15,2022-12-30
140,C22102602,Tư duy thuật toán HH,3,1,2022-2023,HH01,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,HH,2022-08-15,2022-12-30
141,C22102603,Công cụ học tập số HH,3,1,2022-2023,HH01,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,HH,2022-08-15,2022-12-30
142,C22102604,Kỹ năng học thuật HH,3,1,2022-2023,HH01,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,HH,2022-08-15,2022-12-30
143,C22102605,Thực hành nền tảng HH,2,1,2022-2023,HH01,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,HH,2022-08-15,2022-12-30
144,C22102701,Nhập môn chuyên ngành HH,4,1,2022-2023,HH02,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,HH,2022-08-15,2022-12-30
145,C22102702,Tư duy thuật toán HH,3,1,2022-2023,HH02,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,HH,2022-08-15,2022-12-30
146,C22102703,Công cụ học tập số HH,3,1,2022-2023,HH02,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,HH,2022-08-15,2022-12-30
147,C22102704,Kỹ năng học thuật HH,3,1,2022-2023,HH02,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,HH,2022-08-15,2022-12-30
148,C22102705,Thực hành nền tảng HH,2,1,2022-2023,HH02,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,HH,2022-08-15,2022-12-30
149,C22102706,Seminar định hướng HH,2,1,2022-2023,HH02,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,HH,2022-08-15,2022-12-30
